HISTORY,HOSPITALS,CITIES,QUOATA,MIN,MAX,REGIONS
16.12.2021,Bitlis Devlet Hast.,Bitlis,16,"76,16","81,66",Doğu Anadolu Bölgesi
16.12.2021,Güroymak Devlet Hast.,Bitlis,8,"74,63","78,32",Doğu Anadolu Bölgesi
16.12.2021,Hizan Devlet Hast.,Bitlis,6,"74,07","75,91",Doğu Anadolu Bölgesi
16.12.2021,Tatvan Devlet Hast.,Bitlis,50,"76,55","82,65",Doğu Anadolu Bölgesi
16.12.2021,Bolu İzzet Baysal Devlet Hast.,Bolu,13,"76,25","82,02",Karadeniz Bölgesi
16.12.2021,Bucak Devlet Hast.,Burdur,7,"78,22","80,03",Akdeniz Bölgesi
16.12.2021,Burdur Devlet Hast.,Burdur,9,"78,37","87,45",Akdeniz Bölgesi
16.12.2021,Bursa Yüksek İhtisas EAH.,Bursa,13,"77,42","84,31",Marmara Bölgesi
16.12.2021,Bursa Şehir Hast.,Bursa,66,"78,06","90,22",Marmara Bölgesi
16.12.2021,Gemlik Devlet Hast.,Bursa,2,"78,14","79,13",Marmara Bölgesi
16.12.2021,Karacabey Devlet Hast.,Bursa,2,"78,79","80,41",Marmara Bölgesi
16.12.2021,Kestel Devlet Hast.,Bursa,2,"79,69","80,59",Marmara Bölgesi
16.12.2021,Mustafakemalpaşa Devlet Hast.,Bursa,2,"81,13","84,29",Marmara Bölgesi
16.12.2021,Çekirge Devlet Hast.,Bursa,16,"77,63","83,37",Marmara Bölgesi
16.12.2021,İnegöl Devlet Hast.,Bursa,2,"78,38","82,67",Marmara Bölgesi
16.12.2021,Denizli Devlet Hast.,Denizli,9,"79,53","81,68",Ege Bölgesi
16.12.2021,Denizli Servergazi Devlet Hast.,Denizli,5,"80,94","83,09",Ege Bölgesi
16.12.2021,Diyarbakır Bismil İlçe Sağlık Müd.,Diyarbakır,2,"81,19","82,03",Güneydoğu Anadolu Bölgesi
16.12.2021,Diyarbakır Dicle İlçe Sağlık Müd.,Diyarbakır,1,"80,83","80,83",Güneydoğu Anadolu Bölgesi
16.12.2021,Diyarbakır Ergani İlçe Sağlık Müd.,Diyarbakır,4,"81,62","82,89",Güneydoğu Anadolu Bölgesi
16.12.2021,Diyarbakır Eğil TSM.,Diyarbakır,1,"82,26","82,26",Güneydoğu Anadolu Bölgesi
16.12.2021,Diyarbakır Gazi Yaşargil EAH.,Diyarbakır,15,"84,92","88,99",Güneydoğu Anadolu Bölgesi
16.12.2021,Diyarbakır Hani İlçe Sağlık Müd.,Diyarbakır,2,"80,36","81,98",Güneydoğu Anadolu Bölgesi
16.12.2021,Diyarbakır Kulp İlçe Sağlık Müd.,Diyarbakır,1,"76,93","76,93",Güneydoğu Anadolu Bölgesi
16.12.2021,Diyarbakır Lice TSM.,Diyarbakır,1,"78,39","78,39",Güneydoğu Anadolu Bölgesi
