,HOSPITALS,CITIES,QUOATA,MIN,MAX,REGIONS
221,Şemdinli Devlet Hast.,Hakkari,10,"74,77","85,9",Doğu Anadolu Bölgesi
314,Hatay İl Sağlık Müd.,Hatay,5,"87,87","88,27",Akdeniz Bölgesi
315,Dörtyol Devlet Hast.,Hatay,10,"77,96","81,95",Akdeniz Bölgesi
313,Erzin Devlet Hast.,Hatay,2,"77,8","77,8",Akdeniz Bölgesi
312,İskenderun Devlet Hast.,Hatay,27,"78,81","82,4",Akdeniz Bölgesi
308,Samandağ Devlet Hast.,Hatay,8,"78,95","80,74",Akdeniz Bölgesi
305,Reyhanlı Devlet Hast.,Hatay,15,"76,93","77,91",Akdeniz Bölgesi
310,Kırıkhan Devlet Hast.,Hatay,13,"77,69","83,09",Akdeniz Bölgesi
309,Kumlu İlçe Devlet Hast.,Hatay,2,"76,89","76,89",Akdeniz Bölgesi
307,Hassa Devlet Hast.,Hatay,4,"77,24","79,97",Akdeniz Bölgesi
306,Altınözü Devlet Hast.,Hatay,4,"78,35","78,53",Akdeniz Bölgesi
311,Yayladağı Devlet Hast.,Hatay,2,"77,76","77,76",Akdeniz Bölgesi
280,Senirkent İlçe Devlet Hast.,Isparta,2,"76,46","76,46",Akdeniz Bölgesi
279,Sütçüler İlçe Devlet Hast.,Isparta,2,"76,35","76,35",Akdeniz Bölgesi
281,Yalvaç Devlet Hast.,Isparta,5,"76,05","76,69",Akdeniz Bölgesi
278,Uluborlu İlçe Devlet Hast.,Isparta,2,"77,44","77,44",Akdeniz Bölgesi
277,Gelendost İlçe Devlet Hast.,Isparta,2,"79,07","79,07",Akdeniz Bölgesi
290,Iğdır Aralık TSM.,Iğdır,3,"76,36","76,36",Doğu Anadolu Bölgesi
292,Iğdır Merkez TSM.,Iğdır,4,"78,3","78,36",Doğu Anadolu Bölgesi
293,Iğdır Devlet Hast.,Iğdır,6,"79,46","83,49",Doğu Anadolu Bölgesi
294,Iğdır Karakoyunlu TSM.,Iğdır,2,"74,86","74,86",Doğu Anadolu Bölgesi
291,Tuzluca İlçe Devlet Hast.,Iğdır,4,"75,25","78,44",Doğu Anadolu Bölgesi
363,Afşin Devlet Hast.,Kahramanmaraş,12,"75,28","77,11",Akdeniz Bölgesi
365,Pazarcık Devlet Hast.,Kahramanmaraş,18,"76,13","86,69",Akdeniz Bölgesi
366,Türkoğlu Dr. Kemal Beyazıt Devlet Hast.,Kahramanmaraş,6,"78,98","82,86",Akdeniz Bölgesi
364,Elbistan Devlet Hast.,Kahramanmaraş,27,"75,81","86,01",Akdeniz Bölgesi
256,Karabük EAH.,Karabük,21,"75,93","84,49",Karadeniz Bölgesi
225,Ermenek Devlet Hast.,Karaman,6,"74,63","74,76",İç Anadolu Bölgesi
223,Karaman Başyayla TSM.,Karaman,2,"73,84","73,84",İç Anadolu Bölgesi
224,Karaman EAH.,Karaman,24,"75,64","86,56",İç Anadolu Bölgesi
227,Karaman Sarıveliler TSM.,Karaman,2,"74,42","74,42",İç Anadolu Bölgesi
228,Kazımkarabekir İlçe Devlet Hast.,Karaman,2,"74,95","74,95",İç Anadolu Bölgesi
226,Karaman Ermenek TSM.,Karaman,2,"77,02","77,02",İç Anadolu Bölgesi
172,Digor İlçe Devlet Hast.,Kars,7,"72,15","72,86",Doğu Anadolu Bölgesi
168,Arpaçay İlçe Devlet Hast.,Kars,7,"72,5","72,89",Doğu Anadolu Bölgesi
169,Harakani Devlet Hast.,Kars,28,"73,96","87,99",Doğu Anadolu Bölgesi
170,Kars Kağızman İlçe Sağlık Müd.,Kars,2,"79,18","79,18",Doğu Anadolu Bölgesi
171,Kağızman Devlet Hast.,Kars,4,"74,75","76,11",Doğu Anadolu Bölgesi
173,Kars Susuz TSM.,Kars,2,"76,48","76,48",Doğu Anadolu Bölgesi
93,Daday İlçe Devlet Hast.,Kastamonu,2,"73,44","73,44",Karadeniz Bölgesi
92,İnebolu Devlet Hast.,Kastamonu,4,"73,71","78,05",Karadeniz Bölgesi
88,Azdavay İlçe Devlet Hast.,Kastamonu,3,"73,37","73,37",Karadeniz Bölgesi
90,Kastamonu Doğanyurt TSM.,Kastamonu,3,"73,5","73,5",Karadeniz Bölgesi
89,Kastamonu Hanönü TSM.,Kastamonu,3,"73,4","73,4",Karadeniz Bölgesi
91,Kastamonu Şenpazar TSM.,Kastamonu,2,"73,71","73,71",Karadeniz Bölgesi
316,Yahyalı Devlet Hast.,Kayseri,8,"75,32","76,17",İç Anadolu Bölgesi
317,Kayseri Şehir Hast.,Kayseri,156,"76,83","86,08",İç Anadolu Bölgesi
321,Kayseri Devlet Hast.,Kayseri,6,"81,54","87,14",İç Anadolu Bölgesi
320,Bünyan Devlet Hast.,Kayseri,8,"76,36","81,2",İç Anadolu Bölgesi
319,Develi Hatice-Muammer Kocatürk Devlet Hast.,Kayseri,8,"76,27","81,93",İç Anadolu Bölgesi
