,HISTORY,HOSPITALS,CITIES,QUOATA,MIN,MAX,REGIONS
548,16.12.2021,Kocaeli Körfez İlçe Sağlık Müd.,Kocaeli,2,"80,66","80,66",Marmara Bölgesi
549,16.12.2021,Kocaeli Gölcük İlçe Sağlık Müd.,Kocaeli,1,"80,76","80,76",Marmara Bölgesi
550,16.12.2021,Kocaeli Derince İlçe Sağlık Müd.,Kocaeli,2,"81,18","81,41",Marmara Bölgesi
551,16.12.2021,Kocaeli Gebze İlçe Sağlık Müd.,Kocaeli,2,"82,21","82,95",Marmara Bölgesi
552,16.12.2021,Kocaeli Başiskele İlçe Sağlık Müd.,Kocaeli,1,"83,2","83,2",Marmara Bölgesi
553,16.12.2021,Kocaeli İzmit İlçe Sağlık Müd.,Kocaeli,2,"84,11","85,91",Marmara Bölgesi
554,16.12.2021,Kocaeli Darıca İlçe Sağlık Müd.,Kocaeli,1,"84,83","84,83",Marmara Bölgesi
555,16.12.2021,Kocaeli Kartepe İlçe Sağlık Müd.,Kocaeli,1,"85,56","85,56",Marmara Bölgesi
556,16.12.2021,Kocaeli Karamürsel İlçe Sağlık Müd.,Kocaeli,1,"87,37","87,37",Marmara Bölgesi
679,16.12.2021,Marmara İlçe Devlet Hast.,Balıkesir,1,"75,11","75,11",Marmara Bölgesi
680,16.12.2021,Dursunbey Devlet Hast.,Balıkesir,2,"75,58","76,14",Marmara Bölgesi
681,16.12.2021,Balya İlçe Devlet Hast.,Balıkesir,1,"75,66","75,66",Marmara Bölgesi
682,16.12.2021,Savaştepe Devlet Hast.,Balıkesir,3,"75,87","77,57",Marmara Bölgesi
683,16.12.2021,Gömeç İlçe Devlet Hast.,Balıkesir,1,"76,24","76,24",Marmara Bölgesi
684,16.12.2021,Havran Devlet Hast.,Balıkesir,1,"76,66","76,66",Marmara Bölgesi
685,16.12.2021,Sındırgı Devlet Hast.,Balıkesir,4,"76,8","77,57",Marmara Bölgesi
686,16.12.2021,Manyas Devlet Hast.,Balıkesir,2,"77,14","81,32",Marmara Bölgesi
687,16.12.2021,Susurluk Devlet Hast.,Balıkesir,2,"77,9","79,72",Marmara Bölgesi
688,16.12.2021,Gönen Devlet Hast.,Balıkesir,2,"78,05","78,47",Marmara Bölgesi
689,16.12.2021,Kepsut İlçe Devlet Hast.,Balıkesir,1,"78,48","78,48",Marmara Bölgesi
690,16.12.2021,Balıkesir Dursunbey İlçe Sağlık Müd.,Balıkesir,1,"78,93","78,93",Marmara Bölgesi
691,16.12.2021,Erdek Neyyire Sıtkı Devlet Hast.,Balıkesir,2,"78,99","79,05",Marmara Bölgesi
692,16.12.2021,Bandırma EAH.,Balıkesir,4,"79,06","85,37",Marmara Bölgesi
693,16.12.2021,Ayvalık Devlet Hast.,Balıkesir,2,"79,5","84,8",Marmara Bölgesi
694,16.12.2021,Bigadiç Devlet Hast.,Balıkesir,2,"79,99","80,85",Marmara Bölgesi
695,16.12.2021,Burhaniye Devlet Hast.,Balıkesir,2,"80,12","81,06",Marmara Bölgesi
696,16.12.2021,Balıkesir Savaştepe TSM.,Balıkesir,1,"80,34","80,34",Marmara Bölgesi
697,16.12.2021,Balıkesir Devlet Hast.,Balıkesir,4,"81,14","81,74",Marmara Bölgesi
698,16.12.2021,Balıkesir Atatürk Şehir Hast.,Balıkesir,6,"81,88","85,46",Marmara Bölgesi
699,16.12.2021,İvrindi Devlet Hast.,Balıkesir,1,"84,08","84,08",Marmara Bölgesi
767,16.12.2021,Bayramiç Devlet Hast.,Çanakkale,2,"75,87","75,92",Marmara Bölgesi
768,16.12.2021,Ezine Devlet Hast.,Çanakkale,1,"75,98","75,98",Marmara Bölgesi
769,16.12.2021,Gökçeada Devlet Hast.,Çanakkale,2,"76,29","78,05",Marmara Bölgesi
770,16.12.2021,Çanakkale Yenice Devlet Hast.,Çanakkale,3,"76,35","76,94",Marmara Bölgesi
771,16.12.2021,Biga Devlet Hast.,Çanakkale,6,"77,26","83,55",Marmara Bölgesi
772,16.12.2021,Çan Devlet Hast.,Çanakkale,4,"77,35","79,08",Marmara Bölgesi
773,16.12.2021,Çanakkale Ayvacık Devlet Hast.,Çanakkale,2,"79,59","79,71",Marmara Bölgesi
774,16.12.2021,Çanakkale Bozcaada TSM.,Çanakkale,1,"82,01","82,01",Marmara Bölgesi
775,16.12.2021,Çanakkale Ayvacık İlçe Sağlık Müd.,Çanakkale,1,"82,6","82,6",Marmara Bölgesi
806,16.12.2021,Yalova Devlet Hast.,Yalova,13,"76,67","81,73",Marmara Bölgesi
850,16.12.2021,Bursa Yüksek İhtisas EAH.,Bursa,13,"77,42","84,31",Marmara Bölgesi
851,16.12.2021,Çekirge Devlet Hast.,Bursa,16,"77,63","83,37",Marmara Bölgesi
852,16.12.2021,Bursa Şehir Hast.,Bursa,66,"78,06","90,22",Marmara Bölgesi
853,16.12.2021,Gemlik Devlet Hast.,Bursa,2,"78,14","79,13",Marmara Bölgesi
854,16.12.2021,İnegöl Devlet Hast.,Bursa,2,"78,38","82,67",Marmara Bölgesi
855,16.12.2021,Karacabey Devlet Hast.,Bursa,2,"78,79","80,41",Marmara Bölgesi
856,16.12.2021,Bursa Ali Osman Sönmez Onkoloji Hast.,Bursa,1,"78,97","78,97",Marmara Bölgesi
857,16.12.2021,Kestel Devlet Hast.,Bursa,2,"79,69","80,59",Marmara Bölgesi
858,16.12.2021,Mustafakemalpaşa Devlet Hast.,Bursa,2,"81,13","84,29",Marmara Bölgesi
859,16.12.2021,Bursa Dr. Ayten Bozkaya Spastik Çocuklar Hast. ve Reh. Mer.,Bursa,1,"81,27","81,27",Marmara Bölgesi
